000001 CLNT S0 built
005447 TIMR S0 term 1 Follower ticking, cmtIdx 0
005516 TIMR S2 term 1 Leader ticking, cmtIdx 0
005517 TIMR S1 term 1 Follower ticking, cmtIdx 0
005517 TIMR S0 term 1 Follower ticking, cmtIdx 0
005586 TIMR S1 term 1 Follower ticking, cmtIdx 0
005586 TIMR S2 term 1 Leader ticking, cmtIdx 0
005587 CLNT S2 new entry: (C 2444694468985893231, T 1)
005588 PERS S2 persist curTerm 1, votedFor S2, log.start 0, log.lastIdx 1
005588 TIMR S2 reset time: lStart 0, lEnd 1
005588 LEAD S2 -> All AE term 1
005589 LEAD S2 -> S0 AE: nextIdx 1
005590 LEAD S2 -> S0 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 1: {2444694468985893231 1}
005590 LEAD S2 -> S1 AE: nextIdx 1
005590 LEAD S2 -> S1 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 1: {2444694468985893231 1}
005588 TIMR S0 term 1 Follower ticking, cmtIdx 0
005626 DROP S2 AE to S0 dropped
005646 TIMR S0 term 1 Follower ticking, cmtIdx 0
005647 TIMR S2 term 1 Leader ticking, cmtIdx 0
005647 TIMR S1 term 1 Follower ticking, cmtIdx 0
005647 TERM S1 <- S2 AE: term 1, PLT 0, PLI 0, LCommit 0, Entries.len 1: {2444694468985893231 1}
005647 LOG1 S1 <- S2 consistency check: prevIdx 0, prevTerm 0, len(Entries) 1, leaderCmt 0, lastIdx 0, lastTerm 0
005647 LOG1 S1 <- S2 cut end 1
005648 PERS S1 persist curTerm 1, votedFor S-1, log.start 0, log.lastIdx 1
005648 LOG1 S1 <- S2 match: cmtIdx 0 -> 0
005648 TIMR S1 reset time: lStart 0, lEnd 1
005649 LOG1 S2 -> S1 match: prevIdx 0, matchIdx 0 -> 1, nextIdx 1 -> 2
005649 LOG1 S2 -> S1 match: commitIdx 0 -> 1
005649 CMIT S2 signal applier
005649 CMIT S2 apply Log[1] = (C 2444694468985893231, T 1)
005649 CMIT S2 applier wait, lastApplied log[1] = (C 2444694468985893231, T 1)
005706 TIMR S1 term 1 Follower ticking, cmtIdx 0
005706 TIMR S2 term 1 Leader ticking, cmtIdx 1
005707 TIMR S0 term 1 Follower ticking, cmtIdx 0
005776 TIMR S0 term 1 Follower ticking, cmtIdx 0
005776 TIMR S1 term 1 Follower ticking, cmtIdx 0
005776 TIMR S2 term 1 Leader ticking, cmtIdx 1
005836 TIMR S2 term 1 Leader ticking, cmtIdx 1
005837 TIMR S1 term 1 Follower ticking, cmtIdx 0
005838 TIMR S0 term 1 Follower ticking, cmtIdx 0
005904 TIMR S2 term 1 Leader ticking, cmtIdx 1
005906 TIMR S0 term 1 Follower ticking, cmtIdx 0
005906 TIMR S1 term 1 Follower ticking, cmtIdx 0
005975 TIMR S2 term 1 Leader ticking, cmtIdx 1
005977 TIMR S1 term 1 Follower ticking, cmtIdx 0
005977 TIMR S0 term 1 Follower ticking, cmtIdx 0
006033 TIMR S0 term 1 Follower ticking, cmtIdx 0
006033 TIMR S1 term 1 Follower ticking, cmtIdx 0
006033 TIMR S2 term 1 Leader ticking, cmtIdx 1
006103 TIMR S1 term 1 Follower ticking, cmtIdx 0
006104 TIMR S2 term 1 Leader ticking, cmtIdx 1
006104 TIMR S2 reset time: lStart 0, lEnd 1
006104 LEAD S2 -> All AE term 1
006105 LEAD S2 -> S0 AE: nextIdx 1
006105 LEAD S2 -> S0 AE: term 1, PLT 0, PLI 0, LCommit 1, Entries.len 1: {2444694468985893231 1}
006105 LEAD S2 -> S1 AE: nextIdx 2
006105 LEAD S2 -> S1 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
006104 TIMR S0 term 1 Follower ticking, cmtIdx 0
006164 TIMR S0 term 1 Follower ticking, cmtIdx 0
006164 TIMR S2 term 1 Leader ticking, cmtIdx 1
006164 TIMR S1 term 1 Follower ticking, cmtIdx 0
006224 TIMR S2 term 1 Leader ticking, cmtIdx 1
006224 TIMR S0 term 1 Follower ticking, cmtIdx 0
006225 TIMR S1 term 1 Follower ticking, cmtIdx 0
006241 TERM S1 <- S2 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
006241 LOG1 S1 <- S2 consistency check: prevIdx 1, prevTerm 1, len(Entries) 0, leaderCmt 1, lastIdx 1, lastTerm 1
006242 LOG1 S1 <- S2 have all entries
006242 CMIT S1 signal applier
006242 LOG1 S1 <- S2 match: cmtIdx 0 -> 1
006242 TIMR S1 reset time: lStart 0, lEnd 1
006243 CMIT S1 apply Log[1] = (C 2444694468985893231, T 1)
006243 CMIT S1 applier wait, lastApplied log[1] = (C 2444694468985893231, T 1)
006294 TIMR S1 term 1 Follower ticking, cmtIdx 1
006295 TIMR S0 term 1 Follower ticking, cmtIdx 0
006295 TIMR S2 term 1 Leader ticking, cmtIdx 1
006298 TERM S0 <- S2 AE: term 1, PLT 0, PLI 0, LCommit 1, Entries.len 1: {2444694468985893231 1}
006298 LOG1 S0 <- S2 consistency check: prevIdx 0, prevTerm 0, len(Entries) 1, leaderCmt 1, lastIdx 0, lastTerm 0
006298 LOG1 S0 <- S2 cut end 1
006299 PERS S0 persist curTerm 1, votedFor S2, log.start 0, log.lastIdx 1
006299 CMIT S0 signal applier
006299 LOG1 S0 <- S2 match: cmtIdx 0 -> 1
006299 TIMR S0 reset time: lStart 0, lEnd 1
006300 LOG1 S2 -> S0 match: prevIdx 0, matchIdx 0 -> 1, nextIdx 1 -> 2
006300 LOG1 S2 -> S0 match: commitIdx 1 -> 1
006300 CMIT S2 signal applier
006300 CMIT S0 apply Log[1] = (C 2444694468985893231, T 1)
006300 CMIT S0 applier wait, lastApplied log[1] = (C 2444694468985893231, T 1)
006300 CMIT S2 applier wait, lastApplied log[1] = (C 2444694468985893231, T 1)
006354 TIMR S2 term 1 Leader ticking, cmtIdx 1
006354 TIMR S0 term 1 Follower ticking, cmtIdx 1
006355 TIMR S1 term 1 Follower ticking, cmtIdx 1
006424 TIMR S0 term 1 Follower ticking, cmtIdx 1
006424 TIMR S2 term 1 Leader ticking, cmtIdx 1
006425 TIMR S1 term 1 Follower ticking, cmtIdx 1
006494 TIMR S2 term 1 Leader ticking, cmtIdx 1
006494 TIMR S0 term 1 Follower ticking, cmtIdx 1
006494 TIMR S1 term 1 Follower ticking, cmtIdx 1
006564 TIMR S0 term 1 Follower ticking, cmtIdx 1
006564 TIMR S2 term 1 Leader ticking, cmtIdx 1
006565 TIMR S1 term 1 Follower ticking, cmtIdx 1
006633 TIMR S2 term 1 Leader ticking, cmtIdx 1
006633 TIMR S2 reset time: lStart 0, lEnd 1
006633 LEAD S2 -> All AE term 1
006633 LEAD S2 -> S0 AE: nextIdx 2
006633 LEAD S2 -> S0 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
006634 LEAD S2 -> S1 AE: nextIdx 2
006634 LEAD S2 -> S1 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
006634 TIMR S1 term 1 Follower ticking, cmtIdx 1
006634 TIMR S0 term 1 Follower ticking, cmtIdx 1
006674 TERM S0 <- S2 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
006674 LOG1 S0 <- S2 consistency check: prevIdx 1, prevTerm 1, len(Entries) 0, leaderCmt 1, lastIdx 1, lastTerm 1
006674 LOG1 S0 <- S2 have all entries
006674 LOG1 S0 <- S2 match: cmtIdx 1 -> 1
006674 TIMR S0 reset time: lStart 0, lEnd 1
006693 TIMR S2 term 1 Leader ticking, cmtIdx 1
006694 TIMR S1 term 1 Follower ticking, cmtIdx 1
006694 TIMR S0 term 1 Follower ticking, cmtIdx 1
006753 TIMR S0 term 1 Follower ticking, cmtIdx 1
006753 TIMR S2 term 1 Leader ticking, cmtIdx 1
006753 TIMR S1 term 1 Follower ticking, cmtIdx 1
006794 DROP S2 AE to S1 dropped
006814 TIMR S1 term 1 Follower ticking, cmtIdx 1
006814 TIMR S2 term 1 Leader ticking, cmtIdx 1
006814 TIMR S0 term 1 Follower ticking, cmtIdx 1
006884 TIMR S1 term 1 Follower ticking, cmtIdx 1
006884 TIMR S2 term 1 Leader ticking, cmtIdx 1
006884 TIMR S0 term 1 Follower ticking, cmtIdx 1
006953 TIMR S2 term 1 Leader ticking, cmtIdx 1
006954 TIMR S1 term 1 Follower ticking, cmtIdx 1
006954 TIMR S0 term 1 Follower ticking, cmtIdx 1
007023 TIMR S1 term 1 Follower ticking, cmtIdx 1
007023 TIMR S2 term 1 Leader ticking, cmtIdx 1
007024 TIMR S0 term 1 Follower ticking, cmtIdx 1
007093 TIMR S2 term 1 Leader ticking, cmtIdx 1
007094 TIMR S1 term 1 Follower ticking, cmtIdx 1
007094 TIMR S0 term 1 Follower ticking, cmtIdx 1
007153 TIMR S1 term 1 Follower ticking, cmtIdx 1
007153 TIMR S2 term 1 Leader ticking, cmtIdx 1
007153 TIMR S2 reset time: lStart 0, lEnd 1
007154 TIMR S0 term 1 Follower ticking, cmtIdx 1
007154 LEAD S2 -> All AE term 1
007154 LEAD S2 -> S0 AE: nextIdx 2
007154 LEAD S2 -> S0 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
007154 LEAD S2 -> S1 AE: nextIdx 2
007154 LEAD S2 -> S1 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
007185 TERM S1 <- S2 AE: term 1, PLT 1, PLI 1, LCommit 1, Entries.len 0: 
007185 LOG1 S1 <- S2 consistency check: prevIdx 1, prevTerm 1, len(Entries) 0, leaderCmt 1, lastIdx 1, lastTerm 1
007185 LOG1 S1 <- S2 have all entries
007186 LOG1 S1 <- S2 match: cmtIdx 1 -> 1
